mode,context_id,method,energy_kwh_mean,energy_kwh_ci95,comfort_violation_rate_mean,comfort_violation_rate_ci95,mean_temperature_deviation_mean,mean_temperature_deviation_ci95,action_instability_mean,action_instability_ci95,cumulative_reward_mean,cumulative_reward_ci95,deployment_score_mean,deployment_score_ci95,deployment_score_joint_mean,deployment_score_joint_ci95
dummy,s2_small_office_mild_amy,edge_only,167.6171114136832,1.1744366113238818,0.42476851851851855,0.0022685185185185104,0.1667170783827686,0.0031678503165218025,0.013405754610344168,4.797240506475981e-05,-116.33613338450549,1.9652497051960232,171.042071071052,1.1595845315604503,171.042071071052,1.1595845315604503
dummy,s2_small_office_mild_amy,ppo_multicontext,167.6171114136832,1.1744366113238818,0.42476851851851855,0.0022685185185185104,0.1667170783827686,0.0031678503165218025,0.013405754610344168,4.797240506475981e-05,-116.33613338450549,1.9652497051960232,171.042071071052,1.1595845315604503,171.042071071052,1.1595845315604503
dummy,s2_small_office_mild_amy,ppo_static,162.99782233637836,1.1755831500562757,0.48611111111111116,0.01039565782652019,0.22562153088049017,0.002727660293396015,0.014492396955136834,3.744815733388825e-05,-149.72643098368172,1.6928443051637099,166.91569601917752,1.1139665309170692,166.91569601917752,1.1139665309170692
dummy,s2_small_office_mild_amy,static,153.23537966056267,1.1257073594162452,0.5324074074074074,0.009074074074074042,0.444804315257706,0.005223152172224506,0.0,0.0,-274.59553114770597,3.143611471625569,157.49463891982194,1.0634170985511395,157.49463891982194,1.0634170985511395
dummy,s3_medium_office_hot_humid,ashrae,257.04849682231,1.4751908115449517,0.9375,0.003929189331984939,2.4877370203142393,0.027892729267119016,0.0069444444444444,0.0,-1463.8823433196792,16.20688572956763,264.56238571119894,1.4650066636143597,264.56238571119894,1.4650066636143597
dummy,s3_medium_office_hot_humid,cloud_only,360.0734446580193,2.416970624538395,0.8275462962962963,0.02526115312765471,0.6483018904227443,0.004628011622673518,0.015971176050327367,0.0012144759716064353,-416.86068717758775,2.9374624979341957,366.7257573804904,2.548310864755145,366.7257573804904,2.5483108647551616
dummy,s3_medium_office_hot_humid,edge_cloud_adaptive,353.98821909771846,2.4003159230970423,0.8946759259259259,0.009074074074074115,0.7525371770092573,0.0061239684676414104,0.0169075804728048,0.0011604181281008497,-476.18346940786677,3.7948651651255814,361.17944166607157,2.4352393407882884,361.17944166607157,2.4352393407882884
dummy,s3_medium_office_hot_humid,edge_only,360.0734446580193,2.416970624538395,0.8275462962962963,0.02526115312765471,0.6483018904227443,0.004628011622673518,0.015971176050327367,0.0012144759716064353,-416.86068717758775,2.9374624979341957,366.7257573804904,2.548310864755145,366.7257573804904,2.5483108647551616
dummy,s3_medium_office_hot_humid,ppo_multicontext,360.0734446580193,2.416970624538395,0.8275462962962963,0.02526115312765471,0.6483018904227443,0.004628011622673518,0.015971176050327367,0.0012144759716064353,-416.86068717758775,2.9374624979341957,366.7257573804904,2.548310864755145,366.7257573804904,2.5483108647551616
dummy,s3_medium_office_hot_humid,ppo_static,350.447197277101,2.381141598497807,0.9351851851851851,0.008179259837858095,0.811492000362513,0.007425866061435692,0.016243925801029867,0.0011996953943942336,-509.7069684135943,4.545038889959695,357.96116661018453,2.3982353115822272,357.96116661018453,2.3982353115822272
dummy,s3_medium_office_hot_humid,static,333.64398653802346,2.2785808952656414,0.9224537037037037,0.012003871689089373,1.1252387252760154,0.009189886375593152,0.0,0.0,-688.1747841435478,5.566787859833047,341.0236161676531,2.369727618319784,341.0236161676531,2.369727618319784
dummy,s4_school_cold_occupancy_shift,ashrae,501.36692504259713,2.1325540948623773,0.9965277777777778,0.0,2.0654049198614195,0.009772679517069428,0.0017361111111111,0.0,-1249.86226484529,5.884960623231579,509.34261948704153,2.132554094862414,509.34261948704153,2.1325540948623773
dummy,s4_school_cold_occupancy_shift,cloud_only,539.6126882371702,2.204402074400151,0.9965277777777778,0.0,1.068639279259334,0.007629026923523776,0.0171866052680545,0.0013804566175507607,-680.5372345576966,4.6767634901602015,547.6192836699284,2.2068751445005845,547.6192836699284,2.2068751445005845
dummy,s4_school_cold_occupancy_shift,edge_cloud_adaptive,537.3473506721007,2.2025695466238076,0.9965277777777778,0.0,1.1316482425936176,0.007679002813909198,0.018107340291694335,0.0013555300134646755,-716.5718155147761,4.704980891588285,545.3557875749061,2.2050059484842697,545.3557875749061,2.2050059484842697
dummy,s4_school_cold_occupancy_shift,edge_only,539.6126882371702,2.204402074400151,0.9965277777777778,0.0,1.068639279259334,0.007629026923523776,0.0171866052680545,0.0013804566175507607,-680.5372345576966,4.6767634901602015,547.6192836699284,2.2068751445005845,547.6192836699284,2.2068751445005845
dummy,s4_school_cold_occupancy_shift,ppo_multicontext,539.6126882371702,2.204402074400151,0.9965277777777778,0.0,1.068639279259334,0.007629026923523776,0.0171866052680545,0.0013804566175507607,-680.5372345576966,4.6767634901602015,547.6192836699284,2.2068751445005845,547.6192836699284,2.2068751445005845
dummy,s4_school_cold_occupancy_shift,ppo_static,534.8269524341537,2.2025694740519866,0.9965277777777778,0.0,1.195185762605621,0.007679004840241707,0.017443622703905367,0.0013765980881552458,-752.8574217198724,4.705227930799425,542.8340619017837,2.2050399298696015,542.8340619017837,2.2050399298696015
dummy,s4_school_cold_occupancy_shift,static,501.36692504259713,2.1325540948623773,0.9965277777777778,0.0,2.0654049198614195,0.009772679517069428,0.0,0.0,-1249.8372648452898,5.884960623231726,509.3391472648193,2.1325540948623773,509.3391472648193,2.1325540948623773
