mode,context_id,method,energy_kwh_mean,energy_kwh_ci95,comfort_violation_rate_mean,comfort_violation_rate_ci95,mean_temperature_deviation_mean,mean_temperature_deviation_ci95,action_instability_mean,action_instability_ci95,cumulative_reward_mean,cumulative_reward_ci95,deployment_score_mean,deployment_score_ci95,deployment_score_joint_mean,deployment_score_joint_ci95
hot,vn_hanoi_officemedium,ppo_multicontext,2242.916236631572,0.0,0.12152777777777772,1.9233632618876244e-17,0.0001820988125271,0.0,0.0173611111111111,0.0,-269.5048373118041,0.0,2243.9231810760166,0.0,2243.923181076016,0.0
hot,vn_hanoi_officemedium,ppo_static,2242.916236631572,0.0,0.12152777777777772,1.9233632618876244e-17,0.0001820988125271,0.0,0.0173611111111111,0.0,-269.5048373118041,0.0,2243.9231810760166,0.0,2243.923181076016,0.0
hot,vn_hanoi_officemedium,static,990.051794797182,0.0,0.2256944444444444,0.0,0.05201740397347341,6.082208675455819e-18,0.0034722222222222,0.0,-148.8182400643824,0.0,991.864294797182,0.0,991.864294797182,0.0
hot,vn_hanoi_officesmall,ashrae,83.53343628090806,0.0,1.0,0.0,1.9488891230689152,0.0,0.0034722222222222,0.0,-1132.6341472414042,0.0,91.5403807253525,0.0,91.5403807253525,0.0
hot,vn_hanoi_officesmall,cloud_only,127.01844624616206,0.0,0.2256944444444444,0.0,0.0802687803904215,0.0,0.0774608254432678,0.0,-62.59246694080531,0.0,128.97892345260414,0.0,129.31959332178164,0.0
hot,vn_hanoi_officesmall,edge_cloud_adaptive,124.08824204653502,0.0,0.4479166666666667,0.0,0.1203422678841485,0.0,0.072098520067003,0.0,-85.2459540358186,0.0,127.81577242000236,0.0,127.81577242000235,0.0
hot,vn_hanoi_officesmall,edge_only,217.85317730903623,0.0,0.28125,0.0,0.0062546994951036,0.0,0.0173611111111111,0.0,-29.995088186264027,0.0,220.1378995312585,3.939047960345855e-14,220.13790453129653,0.0
hot,vn_hanoi_officesmall,ppo_multicontext,217.85317730903623,0.0,0.28125,0.0,0.0062546994951036,0.0,0.0173611111111111,0.0,-29.995088186264027,0.0,220.1378995312585,3.939047960345855e-14,220.13789953125845,0.0
hot,vn_hanoi_officesmall,ppo_static,217.85317730903623,0.0,0.28125,0.0,0.0062546994951036,0.0,0.0173611111111111,0.0,-29.995088186264027,0.0,220.1378995312585,3.939047960345855e-14,220.13789953125845,0.0
hot,vn_hanoi_officesmall,static,126.79126850725152,0.0,0.4861111111111111,0.0,0.102806289990743,0.0,0.0034722222222222,0.0,-74.48137525553805,0.0,130.68710184058486,0.0,130.68710184058486,0.0
hot,vn_hcmc_hospital,ashrae,6531.032144546509,0.0,0.03125,0.0,0.0029597216182284006,3.801380422159887e-19,0.0034722222222222,0.0,-785.4786569976808,0.0,6531.289088990953,0.0,6531.289088990953,0.0
hot,vn_hcmc_hospital,cloud_only,6792.221654891968,0.0,0.0,0.0,0.0,0.0,0.005127727985382,0.0,-815.140437870026,0.0,6792.2319103479385,0.0,6792.572400582499,1.2604953473106735e-12
hot,vn_hcmc_hospital,edge_cloud_adaptive,6725.63339805603,0.0,0.0,0.0,0.0,0.0,0.0042560034328036,0.0,-807.1372942161562,0.0,6725.6419100628955,0.0,6725.6419100628955,0.0
hot,vn_hcmc_hospital,edge_only,9670.953811645508,0.0,0.3645833333333333,0.0,1.769595675998264e-05,0.0,0.0173611111111111,0.0,-1160.7746502685543,0.0,9673.905200534396,0.0,9673.905206719028,0.0
hot,vn_hcmc_hospital,ppo_multicontext,9670.953811645508,0.0,0.3645833333333333,0.0,1.769595675998264e-05,0.0,0.0173611111111111,0.0,-1160.7746502685543,0.0,9673.905200534396,0.0,9673.905200534396,0.0
hot,vn_hcmc_hospital,ppo_static,9670.953811645508,0.0,0.3645833333333333,0.0,1.769595675998264e-05,0.0,0.0173611111111111,0.0,-1160.7746502685543,0.0,9673.905200534396,0.0,9673.905200534396,0.0
hot,vn_hcmc_hospital,static,6831.091932296753,0.0,0.0,0.0,0.0,0.0,0.0034722222222222,0.0,-819.7810318756104,0.0,6831.098876741197,0.0,6831.098876741197,0.0
hot,vn_hcmc_officemedium,ashrae,1195.4761918447912,0.0,1.0,0.0,1.6352358129289415,0.0,0.0034722222222222,0.0,-1085.402971268445,0.0,1203.4831362892355,0.0,1203.4831362892355,0.0
hot,vn_hcmc_officemedium,cloud_only,1698.9911574572325,0.0,0.1875,0.0,0.0493589109844631,0.0,0.0751214126745859,0.0,-233.39141996443269,3.939047960345855e-14,1700.6414002825816,0.0,1700.9819024718124,0.0
